time_pl,carrier_density
479.28666,2.20979E14
621.81919,4.41959E14
840.09099,8.83918E14
1955.59345,2.20979E15
3840.83004,4.41959E15
7194.09606,8.83918E15
13937.58049,1.76784E16
27450.06524,3.80085E16
